doc_id,POSSH2_d::n,POSSH2_s::d,POSSH2_n::s,POSSH2_p::v,POSSH2_v::s,POSSH2_s::n,POSSH2_n::v,POSSH2_v::d,POSSH2_n::a,POSSH2_n::c,POSSH2_n::</s>,POSSH2_v::v,POSSH2_n::p,POSSH2_c::d,POSSH2_r::v,POSSH2_a::n,POSSH2_v::c,POSSH2_d::a,POSSH2_a::s,POSSH2_s::v,POSSH2_c::v,POSSH2_v::r,POSSH2_v::n,POSSH2_n::d,POSSH2_n::r,POSSH2_v::p,POSSH2_a::c,POSSH2_n::n,POSSH2_c::n,POSSH2_c::s,POSSH2_p::p,POSSH2_<s>::d,POSSH2_a::</s>,POSSH2_c::r,POSSH2_r::s,POSSH2_c::p,POSSH2_<s>::v,POSSH2_v::a,POSSH2_p::s,POSSH2_<s>::n,POSSH2_s::p,POSSH2_<s>::c,POSSH2_<s>::s,POSSH2_d::p,POSSH2_<s>::r,POSSH2_a::v,POSSH2_r::a,POSSH2_r::p,POSSH2_r::d,POSSH2_p::r,POSSH2_a::p,POSSH2_r::c,POSSH2_v::</s>,POSSH2_c::a,POSSH2_s::c,POSSH2_<s>::p,POSSH2_r::r,POSSH2_a::d,POSSH2_p::d,POSSH2_s::a,POSSH2_s::r,POSSH2_d::v,POSSH2_p::c,POSSH2_a::r,POSSH2_c::c,POSSH2_d::d,POSSH2_r::n,POSSH2_z::n,POSSH2_p::n,POSSH2_d::r,POSSH2_a::a,POSSH2_p::</s>,POSSH2_s::z,POSSH2_r::</s>,POSSH2_d::s,POSSH2_p::a,POSSH2_d::z,POSSH2_n::z,POSSH2_v::z,POSSH2_z::</s>,POSSH2_z::s,POSSH2_n::w,POSSH2_z::c,POSSH2_w::</s>,POSSH2_s::s,POSSH2_d::w,POSSH2_c::z,POSSH2_z::z,POSSH2_<s>::i,POSSH2_z::a,POSSH2_d::c,POSSH2_<s>::z,POSSH2_i::</s>,POSSH2_r::z,POSSH2_n::i,POSSH2_z::d,POSSH2_w::n,POSSH2_i::v,POSSH2_d::i,POSSH2_s::w,POSSH2_w::s,POSSH2_z::r,POSSH2_z::p,POSSH2_d::</s>,POSSH2_z::v,POSSH2_v::i,POSSH2_w::p,POSSH2_i::d,POSSH2_i::s,POSSH2_i::r,POSSH2_w::d,POSSH2_w::v,POSSH2_w::c,POSSH2_c::i,POSSH2_i::c,POSSH2_<s>::a,POSSH2_i::n,POSSH2_a::z,POSSH2_a::i,POSSH2_w::r,POSSH2_p::i,POSSH2_v::w,POSSH2_i::p,POSSH2_p::z,POSSH2_<s>::</s>
4a,14.02562374,9.372892785,7.417397168,4.045853001,3.169251517,3.506405934,2.697235334,3.573836817,3.506405934,2.62980445,2.562373567,2.360080917,1.550910317,1.82063385,2.0229265,2.292650034,1.685772084,1.483479434,1.753202967,1.550910317,1.01146325,0.741739717,0.876601483,0.539447067,1.41604855,1.281186784,0.876601483,1.2137559,0.674308833,0.741739717,0.539447067,0.8091706,0.674308833,1.078894134,0.944032367,0.472016183,0.4045853,0.8091706,0.539447067,0.674308833,0.472016183,0.337154417,0.741739717,0.8091706,0.4045853,0.4045853,0.472016183,0.4045853,0.269723533,0.20229265,0.269723533,0.134861767,0.134861767,0.60687795,0.20229265,0.4045853,0.20229265,0.337154417,0.20229265,0.134861767,0,0.20229265,0.4045853,0.4045853,0.134861767,0.20229265,0.067430883,0.134861767,0.067430883,0.067430883,0.269723533,0.20229265,0.269723533,0.067430883,0.067430883,0,0.20229265,0,0,0.067430883,0.134861767,0,0.134861767,0,0,0.067430883,0.067430883,0,0,0,0,0,0.067430883,0,0,0,0,0,0,0,0,0.067430883,0,0,0,0.067430883,0,0,0,0,0,0,0.067430883,0,0,0,0,0,0,0,0,0,0,0,0
4b,13.71237458,8.946488294,8.193979933,3.344481605,3.595317726,4.180602007,3.344481605,3.428093645,3.846153846,3.344481605,2.090301003,3.344481605,1.421404682,2.006688963,1.505016722,1.003344482,1.254180602,1.254180602,1.003344482,1.421404682,1.588628763,1.254180602,2.090301003,0.418060201,0.752508361,0.752508361,1.337792642,0.919732441,1.254180602,0.919732441,0.668896321,0.752508361,1.086956522,0.668896321,0.418060201,0.08361204,0.752508361,0.501672241,0.668896321,0.585284281,0.08361204,0.25083612,0.585284281,0.919732441,0.418060201,1.003344482,0.418060201,0.25083612,0.25083612,0.334448161,0.919732441,0.334448161,0.25083612,0.585284281,0.585284281,0.25083612,0,0.16722408,0.16722408,0.08361204,0,0.08361204,0,0.25083612,0.08361204,0.25083612,0.418060201,0.08361204,0.08361204,0.08361204,0.25083612,0.08361204,0.16722408,0.16722408,0.08361204,0,0,0,0,0,0,0,0,0,0,0,0,0.08361204,0,0.08361204,0,0.08361204,0,0,0,0,0,0,0,0,0,0,0,0,0.08361204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c,15.31823085,9.169363538,7.713052859,4.045307443,3.55987055,2.858683927,2.373247033,3.77562028,4.153182309,2.319309601,1.941747573,2.049622438,2.319309601,1.402373247,1.348435814,2.103559871,0.755124056,1.564185545,1.402373247,1.564185545,1.024811219,0.647249191,1.186623517,1.618122977,0.755124056,0.862998921,1.45631068,0.862998921,0.755124056,0.701186624,1.240560949,1.078748652,0.862998921,0.21574973,0.593311758,0.485436893,0.701186624,1.024811219,0.539374326,0.593311758,0.431499461,0.21574973,0.269687163,0.431499461,0.431499461,0.916936354,0.539374326,0.161812298,0.323624595,0.269687163,0.755124056,0.107874865,0.431499461,0.539374326,0.21574973,0.107874865,0.161812298,0.539374326,0.21574973,0.323624595,0.377562028,0.323624595,0.053937433,0.269687163,0.107874865,0.431499461,0.161812298,0.053937433,0.161812298,0.323624595,0.377562028,0.107874865,0.107874865,0.053937433,0.107874865,0.161812298,0.053937433,0.053937433,0.053937433,0,0.161812298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053937433,0,0,0.053937433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053937433,0,0,0,0,0,0,0,0
5a,13.89728097,8.761329305,4.98489426,3.625377644,4.98489426,3.172205438,3.474320242,2.567975831,3.625377644,2.719033233,2.265861027,2.870090634,0.906344411,1.963746224,2.416918429,0.906344411,2.416918429,1.208459215,1.963746224,1.812688822,1.66163142,1.66163142,0.755287009,0.906344411,1.208459215,0.906344411,0.604229607,0.151057402,0.755287009,1.510574018,1.057401813,1.057401813,0.755287009,0.755287009,1.057401813,0.453172205,0.302114804,0.151057402,0.755287009,0,1.208459215,0.755287009,0.906344411,0.906344411,0.604229607,0.302114804,0.302114804,0.453172205,0.604229607,0.151057402,0.604229607,0.302114804,0.453172205,0.151057402,0.453172205,0.151057402,0.151057402,0.151057402,0.453172205,0.151057402,0.453172205,0.302114804,0.151057402,0.302114804,0.604229607,0.302114804,0.151057402,0.302114804,0.151057402,0.151057402,0.151057402,0.302114804,0.151057402,0,0,0,0,0,0,0,0,0,0,0,0.151057402,0,0.151057402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,13.2218845,7.598784195,6.686930091,4.863221885,4.559270517,4.407294833,2.583586626,1.975683891,2.73556231,1.975683891,2.127659574,3.495440729,1.215805471,1.519756839,1.063829787,1.215805471,2.127659574,1.671732523,1.367781155,1.367781155,1.519756839,1.063829787,0.455927052,1.367781155,0.759878419,1.063829787,1.823708207,0.303951368,0.303951368,1.215805471,1.367781155,1.215805471,1.671732523,1.519756839,0.607902736,1.367781155,0.607902736,1.063829787,0.151975684,0,0.455927052,0.911854103,0.759878419,0.151975684,0.759878419,0.455927052,0.303951368,1.215805471,0.911854103,0.151975684,0.455927052,0.607902736,0.303951368,1.063829787,0.759878419,0.151975684,0.303951368,0.303951368,0.151975684,0.455927052,0.303951368,0.151975684,0.303951368,0.151975684,0.151975684,0.151975684,0,0,0,0,0,0.303951368,0,0,0,0.151975684,0,0.151975684,0,0,0,0,0,0,0,0,0,0.151975684,0,0,0,0,0,0,0,0.151975684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c,14.88721805,9.323308271,6.165413534,2.406015038,4.210526316,3.458646617,3.007518797,2.255639098,3.308270677,1.203007519,2.857142857,3.759398496,1.503759399,1.954887218,2.406015038,1.503759399,1.503759399,1.654135338,2.105263158,1.203007519,1.203007519,1.353383459,0.601503759,2.105263158,1.052631579,0.601503759,1.203007519,1.052631579,0.45112782,0.601503759,0.45112782,1.654135338,0.751879699,0.751879699,0.15037594,0.601503759,0.601503759,1.052631579,0.751879699,0,0.30075188,1.353383459,0.601503759,0.751879699,0.45112782,0.902255639,0.601503759,0.15037594,0.902255639,0.30075188,0.15037594,0.45112782,0.902255639,0.30075188,0.15037594,0.15037594,0.45112782,0,0.45112782,0.30075188,0.15037594,0.751879699,0,0.601503759,0.15037594,0,0,0.15037594,0.15037594,0,0,0.15037594,0,0,0.30075188,0,0.15037594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15037594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d,13.50954479,7.929515419,5.43318649,3.671071953,3.230543319,3.524229075,2.643171806,2.496328928,2.055800294,2.34948605,2.790014684,3.671071953,2.643171806,2.790014684,2.790014684,1.321585903,1.908957416,1.321585903,1.174743025,1.174743025,0.734214391,1.615271659,0.440528634,0.734214391,1.615271659,1.027900147,1.027900147,0.734214391,0.881057269,1.468428781,0.587371512,1.027900147,0.734214391,1.468428781,0.587371512,1.027900147,0.734214391,0.734214391,0.440528634,0.146842878,0,1.174743025,0.734214391,0.734214391,0.734214391,0.146842878,0.881057269,0.587371512,0.587371512,1.027900147,0,1.468428781,0.881057269,0.293685756,0.293685756,0.146842878,0.293685756,0.293685756,0.440528634,0,0.293685756,0.440528634,0.440528634,0.587371512,0.293685756,0,0.440528634,0,0,0.146842878,0,0.146842878,0,0.146842878,0.146842878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f,15.24663677,9.56651719,7.473841555,4.633781764,4.185351271,2.989536622,2.391629297,2.391629297,3.736920777,1.644245142,1.494768311,2.242152466,2.092675635,2.69058296,1.644245142,0.896860987,1.494768311,1.195814649,1.943198804,1.494768311,0.896860987,1.195814649,0.896860987,1.046337818,1.644245142,0.448430493,0.747384155,0.448430493,1.046337818,0.896860987,1.644245142,0.896860987,2.092675635,0,0.747384155,0.597907324,0.597907324,0.747384155,0.298953662,0.149476831,0.597907324,0.448430493,0.896860987,0.747384155,0.747384155,0.149476831,0.298953662,0.597907324,0.448430493,0.149476831,0.747384155,0.448430493,0.448430493,0.149476831,1.046337818,0.448430493,0.149476831,0,0.298953662,0.448430493,0.298953662,0,0.448430493,0.298953662,0,0.298953662,0.149476831,0,0.149476831,0.149476831,0,0,0,0.149476831,0,0.298953662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5g,12.36363636,8,5.090909091,4,3.272727273,2.909090909,2.181818182,2.545454545,4,2.545454545,2.909090909,2.909090909,2.181818182,2.181818182,1.454545455,2.909090909,1.818181818,4,2.181818182,0.727272727,0.727272727,1.090909091,1.090909091,1.818181818,1.090909091,1.090909091,0.727272727,0,2.181818182,0.727272727,0.727272727,1.090909091,0.727272727,0.727272727,1.454545455,0.363636364,0.727272727,0,0.363636364,0.363636364,0.363636364,0.363636364,0,0.727272727,1.090909091,0.727272727,0.363636364,0.363636364,0.727272727,1.090909091,1.090909091,1.090909091,0,0.727272727,0.727272727,0,0.363636364,1.090909091,0.363636364,0.363636364,0,0.363636364,0.363636364,0,0,0,0,0,0,0.363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5h,12.14953271,6.901509705,4.744787922,5.751258088,4.097771387,2.731847592,3.378864127,3.019410496,1.437814522,2.228612509,2.94751977,2.659956866,2.156721783,1.869158879,1.869158879,0.503235083,2.444284687,0.647016535,0.790797987,1.078360891,1.509705248,1.365923796,0.718907261,1.078360891,0.790797987,2.228612509,0.718907261,0.862688713,0.790797987,0.862688713,1.509705248,0.215672178,0.647016535,0.503235083,0.862688713,1.509705248,1.509705248,0.647016535,0.790797987,1.509705248,1.006470165,1.078360891,0.35945363,0.718907261,0.647016535,0.215672178,0.431344357,0.287562904,0.503235083,0.862688713,0.143781452,0.143781452,1.222142344,0.143781452,0.35945363,0.503235083,0.35945363,0.287562904,0.647016535,0.071890726,0.287562904,0.647016535,0.215672178,0.071890726,0.287562904,0.287562904,0.071890726,0.575125809,0.143781452,0.071890726,0,0.143781452,0.143781452,0.431344357,0,0,0.215672178,0.431344357,0.35945363,0.647016535,0.071890726,0,0,0,0,0,0,0,0.215672178,0,0,0.071890726,0.071890726,0.071890726,0,0,0,0.215672178,0.071890726,0,0,0,0,0,0,0.071890726,0,0,0,0.071890726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5i,12.0059657,6.263982103,5.369127517,5.14541387,4.101416853,2.908277405,3.355704698,2.237136465,1.640566741,2.535421327,2.833706189,2.311707681,2.460850112,2.684563758,2.16256525,0.969425802,2.087994034,1.043997017,0.745712155,1.267710664,1.267710664,2.013422819,1.118568233,0.969425802,1.342281879,1.043997017,1.267710664,1.193139448,0.969425802,0.447427293,2.311707681,0.894854586,0.969425802,1.193139448,0.372856078,0.521998509,0.820283371,0.745712155,0.298284862,1.938851603,0.596569724,0.372856078,0.372856078,0.745712155,0.521998509,0.149142431,1.193139448,0.67114094,0.521998509,0.372856078,0.447427293,0.298284862,0.820283371,0.372856078,0.372856078,0.596569724,0.596569724,0.298284862,0.372856078,0.149142431,0.149142431,0,0.298284862,0.298284862,0.67114094,0.074571216,0.298284862,0.298284862,0.149142431,0.074571216,0,0.372856078,0.074571216,0.447427293,0,0.074571216,0.223713647,0.149142431,0,0.149142431,0,0,0.074571216,0,0.074571216,0,0,0,0.074571216,0,0.149142431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074571216,0,0,0,0,0,0,0,0,0.074571216,0,0,0,0,0,0,0
5j,11.72839506,7.561728395,6.172839506,4.62962963,3.858024691,4.089506173,2.700617284,2.777777778,3.858024691,2.391975309,1.929012346,2.546296296,1.697530864,1.851851852,1.62037037,1.62037037,1.62037037,1.311728395,1.929012346,1.388888889,1.00308642,1.62037037,1.311728395,0.694444444,1.388888889,1.234567901,1.311728395,1.311728395,0.848765432,1.00308642,0.848765432,0.925925926,1.00308642,0.848765432,0.617283951,0.848765432,0.617283951,0.385802469,0.771604938,0.231481481,0.925925926,0.385802469,0.308641975,0.925925926,0.540123457,0.771604938,1.080246914,0.308641975,0.385802469,0.385802469,0.540123457,0.771604938,0.231481481,0.617283951,0.385802469,0.231481481,0.540123457,0.308641975,0.308641975,0.077160494,0.154320988,0.231481481,0.077160494,0.154320988,0,0.154320988,0.617283951,0.385802469,0.154320988,0.308641975,0.231481481,0.154320988,0.077160494,0,0,0.308641975,0.077160494,0.154320988,0,0,0,0,0,0,0,0.154320988,0,0,0,0,0.077160494,0.077160494,0,0,0.077160494,0,0,0,0,0,0,0,0,0,0,0,0.077160494,0,0,0,0,0.077160494,0,0,0,0,0.077160494,0,0,0,0,0,0,0,0
2c,11.99720995,7.881887933,7.812136712,3.882817949,4.208323646,4.32457568,2.883050453,3.022552895,2.278539874,2.557544757,1.48802604,2.348291095,1.929783771,1.464775634,1.767030923,1.743780516,1.720530109,1.557777261,1.325273192,1.813531737,1.697279702,0.999767496,1.511276447,1.41827482,1.185770751,1.302022785,0.883515462,1.325273192,0.74401302,1.023017903,0.999767496,0.232504069,0.465008138,0.720762613,0.558009765,0.790513834,0.837014648,0.790513834,0.883515462,0.255754476,0.883515462,0.534759358,0.209253662,0.720762613,0.255754476,0.720762613,0.6742618,0.418507324,0.465008138,0.604510579,0.255754476,0.325505696,0.255754476,0.255754476,0.511508951,0.162752848,0.441757731,0.232504069,0.441757731,0.209253662,0.279004883,0.395256917,0.209253662,0.255754476,0.232504069,0.162752848,0.232504069,0.488258545,0.325505696,0.279004883,0.116252034,0.093001628,0.325505696,0.116252034,0.139502441,0.069751221,0.069751221,0.023250407,0.186003255,0.023250407,0.093001628,0.023250407,0.023250407,0.046500814,0.046500814,0.023250407,0.069751221,0,0,0.023250407,0,0,0,0.046500814,0.023250407,0,0,0,0,0.046500814,0.023250407,0,0.046500814,0.023250407,0.023250407,0,0,0.023250407,0,0,0.023250407,0.023250407,0,0,0,0.023250407,0,0,0,0.023250407,0,0.046500814,0,0,0.023250407
2d,12.46056782,8.832807571,7.886435331,2.681388013,3.785488959,3.785488959,4.258675079,2.050473186,2.523659306,2.996845426,1.89274448,1.577287066,1.104100946,2.050473186,1.104100946,1.735015773,1.735015773,2.208201893,1.735015773,2.050473186,0.788643533,1.104100946,1.41955836,0.630914826,1.735015773,1.41955836,1.104100946,1.104100946,1.89274448,1.41955836,0.788643533,0.47318612,0.315457413,0.315457413,0.630914826,0.47318612,0.47318612,0.788643533,0.788643533,0.630914826,1.104100946,0.315457413,0.315457413,0.157728707,0.157728707,1.104100946,0.788643533,0.630914826,0.630914826,0.47318612,0.630914826,0.630914826,0.157728707,0.157728707,0.157728707,0.157728707,0.47318612,0.315457413,0.47318612,0.47318612,0.315457413,0,0,0.315457413,0.157728707,0.47318612,0.157728707,0,0.94637224,0.315457413,0,0,0.157728707,0.157728707,0.315457413,0.315457413,0,0,0,0,0,0,0.157728707,0,0.157728707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
